iter	Passed	Remaining
0	1	102
1	2	132
2	3	119
3	4	103
4	5	97
5	6	94
6	6	91
7	7	87
8	8	85
9	9	82
10	10	80
11	10	79
12	12	81
13	13	81
14	14	80
15	15	80
16	17	87
17	18	85
18	20	85
19	21	85
20	22	83
21	23	82
22	24	80
23	25	79
24	26	78
25	27	78
26	28	77
27	29	76
28	32	79
29	34	81
30	35	79
31	36	78
32	37	76
33	38	74
34	39	73
35	40	71
36	41	70
37	42	68
38	42	67
39	43	65
40	44	64
41	44	61
42	46	62
43	47	60
44	48	59
45	49	58
46	50	56
47	51	55
48	52	54
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	61	44
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	71	35
67	72	34
68	73	33
69	75	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	81	24
77	82	23
78	83	22
79	84	21
80	85	20
81	86	18
82	87	17
83	88	16
84	90	15
85	91	14
86	92	13
87	92	12
88	93	11
89	94	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	104	1
99	105	0
